id_os;Název soudu;Nadřízený soud;Délka řízení ve dnech: Průměr;Délka řízení ve dnech: Medián;Délka řízení ve dnech: Percentil 90;Odvolání v %: Míra odvolání;Odvolání v %: Míra změny rozsudku;Odvolání v %: Celk. míra zm. rozs.;Vyřizování věcí: Obživa+nápad;Vyřizování věcí: Vyřízeno;Vyřizování věcí: Nevyřízeno;Vyřizování věcí: Míra vyřizování;Vyřizování věcí: Disposition time;Počet soudců k 1.1.;Vyřizování věcí na soudce: Obživa+nápad;Vyřizování věcí na soudce: Vyřízeno;Vyřizování věcí na soudce: Nevyřízeno;Vyřizování věcí na soudce: Míra odsouzení v %;Evidenční počet soudců k 1.1.;rok;agenda_typ
11;Benešov;KS Praha;106.905;60.0;188.0;32.02247;12.76596;4.087975711212;498.0;495.0;34.0;99.3975903614458;25.07070707070707;2.75;181.0909090909091;180.0;12.363636363636363;95.51122;3.0;2024;trestní agenda
12;Beroun;KS Praha;67.27044;43.0;109.0;17.56757;27.27273;4.791155933661;593.0;574.0;35.0;96.79595278246205;22.256097560975608;2.65;223.77358490566039;216.60377358490567;13.20754716981132;98.52008;3.0;2024;trestní agenda
13;Kladno;KS Praha;82.51125;46.0;145.0;25.94937;30.0885;7.8077761924499995;980.0;983.0;51.0;100.30612244897958;18.936927772126143;7.0;140.0;140.42857142857142;7.285714285714286;96.40131;7.0;2024;trestní agenda
14;Kolín;KS Praha;102.5376;60.0;223.0;25.66038;24.59016;6.3099284986079995;606.0;609.0;39.0;100.4950495049505;23.374384236453203;2.7;224.44444444444443;225.55555555555554;14.444444444444443;92.37918;4.0;2024;trestní agenda
15;Kutná Hora;KS Praha;73.11364;40.5;187.0;23.86364;44.44445;10.60606354798;332.0;322.0;24.0;96.98795180722891;27.20496894409938;2.0;166.0;161.0;12.0;98.25327;2.0;2024;trestní agenda
16;Mělník;KS Praha;89.35416;48.0;197.0;33.57143;50.0;16.785715;599.0;599.0;30.0;100.0;18.280467445742904;4.0;149.75;149.75;7.5;96.84015;5.0;2024;trestní agenda
17;Mladá Boleslav;KS Praha;110.5022;53.0;198.0;23.63636;17.64706;4.171122631016;890.0;885.0;57.0;99.43820224719101;23.508474576271187;4.9;181.6326530612245;180.61224489795916;11.63265306122449;95.84383;3.0;2024;trestní agenda
18;Nymburk;KS Praha;85.60338;51.0;188.0;24.15254;27.45098;6.630108924891999;641.0;633.0;46.0;98.75195007800312;26.524486571879937;3.35;191.34328358208955;188.955223880597;13.731343283582088;97.00997;3.0;2024;trestní agenda
19;Praha-východ;KS Praha;85.66393;57.0;157.0;20.54795;40.84507;8.392824561065;920.0;906.0;59.0;98.47826086956522;23.76931567328918;3.7;248.64864864864865;244.86486486486484;15.945945945945946;95.57641;7.0;2024;trestní agenda
20;Praha-západ;KS Praha;259.8404;96.0;486.0;31.73077;44.44445;14.102566207265001;630.0;611.0;44.0;96.98412698412699;26.2847790507365;3.8;165.78947368421052;160.78947368421052;11.578947368421053;94.81481;5.0;2024;trestní agenda
21;Příbram;KS Praha;163.5701;75.0;419.0;15.98174;46.66667;7.4581458660580005;618.0;631.0;52.0;102.10355987055016;30.079239302694138;3.8;162.63157894736844;166.05263157894737;13.68421052631579;94.39462;4.0;2024;trestní agenda
22;Rakovník;KS Praha;78.39785;54.0;175.0;32.25806;24.13793;7.786427942158;290.0;286.0;18.0;98.62068965517241;22.972027972027973;1.25;232.0;228.8;14.4;96.59575;2.0;2024;trestní agenda
23;České Budějovice;KS Č. Budějovice;117.176;64.0;249.0;18.34862;28.125;5.160549375;1272.0;1288.0;136.0;101.25786163522012;38.54037267080746;6.6;192.72727272727275;195.15151515151516;20.606060606060606;90.47169;12.0;2024;trestní agenda
24;Český Krumlov;KS Č. Budějovice;110.4382;69.5;296.0;25.32467;18.18182;4.604485914994;394.0;389.0;56.0;98.73096446700508;52.544987146529564;2.1;187.61904761904762;185.23809523809524;26.666666666666664;94.49275;2.0;2024;trestní agenda
25;Jindřichův Hradec;KS Č. Budějovice;143.9795;88.0;300.0;22.16216;29.72973;6.588750330168;504.0;510.0;65.0;101.19047619047619;46.51960784313725;2.7;186.66666666666666;188.88888888888889;24.074074074074073;94.54148;4.0;2024;trestní agenda
26;Pelhřimov;KS Č. Budějovice;97.27407;70.0;191.0;13.53384;47.05882;6.368865404687999;300.0;303.0;28.0;101.0;33.729372937293725;1.6;187.5;189.375;17.5;93.92712;2.0;2024;trestní agenda
27;Písek;KS Č. Budějovice;206.7313;109.0;443.0;26.19048;40.0;10.476192000000001;445.0;432.0;55.0;97.07865168539325;46.46990740740741;1.8;247.22222222222223;240.0;30.555555555555554;93.3518;3.0;2024;trestní agenda
28;Prachatice;KS Č. Budějovice;125.243;51.0;168.0;9.90099;57.14286;5.6577088543139995;313.0;315.0;32.0;100.63897763578275;37.07936507936508;1.4;223.57142857142858;225.00000000000003;22.857142857142858;94.8718;1.0;2024;trestní agenda
29;Strakonice;KS Č. Budějovice;129.5368;75.5;300.0;16.2963;55.0;8.962964999999999;344.0;348.0;42.0;101.16279069767442;44.05172413793104;2.6;132.3076923076923;133.84615384615384;16.153846153846153;92.46988;3.0;2024;trestní agenda
